"idx","time_to_first_matter","time_to_first_time_entry","time_to_first_bill","time_to_second_user","page_views_in_first_hour","page_views_in_first_day","page_views_in_first_7_days","page_views_in_first_14_days","time_to_conversion","conversion_value"
745,,,,,12,12,12,12,,
1190,117,117,223,280881,16,16,31,31,281245,140
1242,351,448,,,20,20,20,20,,
1044,,,,,1,5,5,5,,
304,,,,,4,4,4,4,,
843,1190696,1190448,1191054,,7,7,13,59,591962,69
936,278,355,,,10,10,10,10,,
997,,,,1168,41,89,89,89,1973,828
110,,,,,22,22,24,24,,
871,,332,,,10,20,20,20,,
105,,,,,1,1,1,1,,
862,,,,,5,5,5,7,,
966,,,,,10,10,10,10,,
181,,,,,,,,,,
536,192,192,,,27,56,56,116,69625,52.37
890,,,,,12,22,22,22,,
1232,,,,,6,6,6,6,,
1062,,,,,20,20,20,20,,
385,,,,120,16,16,21,21,,
650,,,,,25,25,25,25,,
971,66439,66439,,494,23,322,340,363,62499,265
13,,,,,27,27,27,54,,
223,1138609,1138609,,,10,10,26,143,1135430,62.1
1176,,,,,7,7,7,7,,
1266,205,1302,,602916,10,14,30,31,,
540,996,1066,511667,66936,20,128,213,401,513549,138
1142,,,,,17,17,17,17,,
822,,,,,1,1,1,1,,
379,,,,,13,13,13,13,,
327,,72,,,3,3,3,3,,
395,,,,,3,3,3,3,,
1018,,,,,9,9,9,9,,
133,161817,1207301,,442,13,13,241,478,1105920,98
2,,,,,4,5,9,9,,
693,,,,,14,14,14,14,,
1197,2845,3661,4525,993,102,212,761,834,608686,207
421,948,,,,27,40,40,40,,
912,2606,,,,21,21,21,21,,
1247,,,,,5,5,7,7,,
1060,,,,,37,37,46,46,,
819,929544,936322,,,2,2,16,138,498579,69
256,16509,16509,,16064,7,49,123,123,,
464,,,,,20,20,23,26,,
397,,,,,3,3,28,28,,
1116,,,,,13,13,14,14,,
782,,,,,7,7,7,7,,
1089,,,,,11,11,11,11,,
345,,,,,12,12,12,12,,
310,692844,692843,,,21,21,21,82,,
271,25984,,,,1,25,41,41,,
147,222,222,,,21,21,21,21,,
312,169,1297,,,13,13,13,13,,
212,,,,,6,6,8,15,,
291,224,224,224,,56,66,68,68,,
1221,,,,,9,9,9,9,,
847,281613,353365,,16768,8,17,116,378,,
837,826,742,,534,92,111,113,113,,
1071,,,,517,27,27,40,40,1279,186.21
820,,,,,2,2,2,2,,
150,,,,,6,6,6,6,,
292,,,,,11,22,22,22,,
361,,,,,11,11,11,11,,
1264,624,1421,1587,,33,68,92,92,,
71,,,,,7,7,15,15,,
1275,,,,,17,17,17,17,,
416,,,,,23,23,23,23,,
1075,,,,,33,38,38,38,,
1092,,,,,6,6,6,6,,
301,,,,,22,59,59,59,,
987,,,,,2,2,2,2,,
1273,455,2683,6255,1189,71,518,667,673,254333,156
975,12628,12628,12629,,17,23,23,23,,
927,,,,,26,40,40,40,,
415,3311,13563,,,6,56,58,58,,
1179,,,,,2,2,2,2,,
364,16349,,,,8,19,19,19,,
1103,426,,,,19,19,19,19,,
215,144,4585,4743,,24,66,66,66,,
100,,,,,12,12,14,14,,
980,,,,,2,2,2,2,,
70,74352,677474,,157228,16,115,505,1129,163420,207
1244,,,,,1,2,11,11,,
1251,3061,3061,,,16,45,60,127,1452,62.1
193,,,,,22,22,22,22,,
1010,,148,,,12,12,12,12,,
958,716165,716484,,710726,2,2,2,72,702530,51.75
1188,,,,,12,12,12,12,,
216,293,292,,405583,28,28,49,60,406343,138
897,5158,6301,19785,,23,130,230,280,11317,49
769,,,,,13,13,13,13,,
1001,76900,184647,184647,,8,8,164,164,,
1194,,,,,27,27,27,27,,
910,277,72765,,61121,25,135,434,579,63785,207
798,,,,,37,60,60,60,,
1168,,,,,1,1,1,1,,
1110,,,,,11,11,11,11,,
1274,802,892,892,,51,51,51,51,,
324,,,,,15,26,26,26,,
781,,,,,20,20,20,20,,
560,,,,,5,5,5,5,,
512,495398,498287,771717,115,49,81,296,1543,4879,186.3
1238,,130,,,35,35,35,35,,
569,,,,,6,6,6,6,,
992,,,,,,,,,,
555,,,,,11,13,13,13,,
705,,,,,8,8,30,30,,
856,149,426,426,,25,56,63,69,78051,69
919,2779,392148,477745,2660,21,21,38,38,,
294,161762,161762,,318,5,45,126,346,11376,110.4
1112,1025,,,,42,42,42,42,,
83,912,,,,67,86,91,91,,
297,,,,,5,5,5,5,,
1051,4851,2897,5462,376,36,490,490,490,,
753,250,250,749,,112,227,376,396,157101,69
499,1693,,9214,,40,71,71,71,,
825,,,,,18,18,18,18,,
107,133,,,,3,3,3,3,,
89,,,,359817,11,38,71,71,359929,110.4
926,69675,,,,26,26,26,26,,
1022,,,,,6,6,6,6,,
931,,,,,16,16,16,16,,
541,,,,,16,16,16,16,,
1009,107291,107291,107437,,15,34,187,187,,
524,,,,,4,4,4,4,,
826,90246,3210,,711230,19,54,131,213,,
659,301,301,77529,,34,177,177,214,,
161,630,630,630,,19,19,90,90,,
546,,,,,2,2,3,5,,
276,310,,,,6,6,6,6,,
1153,,,,,3,3,3,3,,
84,,,,,13,13,13,13,,
112,587,,,,9,9,9,9,,
24,1438,3899,4554,456481,46,118,246,246,,
201,,,,,9,9,9,9,,
268,,,,,20,20,20,20,,
360,670,783,1091,,50,50,50,51,,
1098,65084,69859,,,12,142,247,368,2033,49
653,,,,,2,2,2,2,,
314,153,239,,,9,9,9,9,,
702,,,,,6,6,21,21,,
1100,306,,484,,27,27,31,31,,
1000,1092,1307,1801,,51,190,305,358,,
1166,2663,2663,6000,,81,176,242,346,1011521,55.2
417,772079,772188,,,5,5,5,52,132,49
887,,,,,1,1,1,1,,
1149,321,1304,,1053,67,111,264,327,607081,147
26,562,,,,19,19,19,19,,
562,,,,,1,1,1,1,,
451,,,,,1,1,1,1,,
986,,,,,16,16,16,16,,
1205,,,,,8,8,8,8,,
322,,,,,6,6,6,6,,
1202,,,,,1,2,2,2,,
479,,,,,1,1,1,2,,
880,,,,,3,3,3,3,,
832,,,,,4,4,4,4,,
205,183129,249085,,,8,8,192,219,605780,58.19
485,,,,,22,22,22,22,,
907,517933,518079,,,2,2,26,26,,
1172,196,196,,,29,53,75,75,,
1227,,,,,8,8,8,8,,
481,344530,346677,604030,430741,5,5,293,342,,
493,,,,,10,10,10,10,,
566,,,,,2,2,2,2,,
1158,261,853,853,,28,97,221,407,5055,62.1
1111,,,,,5,5,5,5,,
1226,,,,,2,2,2,2,,
31,,,,,20,20,20,20,,
969,4974,166300,173747,,10,29,59,59,,
682,169,,,,14,14,14,14,,
739,,,,,10,10,10,10,,
1140,,,,,2,2,2,2,,
604,,250245,,,1,3,366,367,521661,58.19
812,955,45660,45865,,61,167,192,192,,
1159,,,,,9,9,9,9,,
599,,,,101,14,14,14,18,528,110.4
1206,343932,2467,344890,,30,30,108,258,342665,109
816,,,,,3,3,3,3,,
615,204,456,64032,79704,65,673,1012,1012,,
365,,,,,,,,,,
1099,83047,,,243,39,43,80,168,2149,196.2
177,538,,,,13,15,15,15,,
543,545,408,1103,,38,38,38,38,,
398,,,,,9,9,9,9,,
533,198261,198761,,,17,19,237,342,4580,52.37
1083,,,,,14,14,14,14,,
1123,1019,1841,1087,,99,186,186,186,,
801,285,285,1648,,47,47,89,89,,
1076,,73556,,,14,16,40,40,,
383,498516,576274,,,22,22,134,190,399603,58.65
1170,,,,,8,8,8,8,,
192,741,243094,,64364,15,69,167,167,65185,207
605,,,,,5,8,18,18,,
143,,,,,27,31,31,31,,
764,169,,,81188,24,92,107,107,,
716,,,,,1,1,1,1,,
525,,,,,15,15,15,15,,
1157,147,306,307,,80,80,80,80,,
1183,,,,,8,9,9,9,,
990,8367,8367,1204219,231,61,223,572,1080,18083,138.48
221,,,,,8,9,9,9,,
1132,,,,,1,1,1,1,,
580,186780,191052,,,11,15,126,309,570,69
1239,142,233,317,,14,14,14,18,,
539,,,,,13,13,13,13,,
751,,,,,28,33,33,33,,
602,,,,,43,43,43,47,927588,52.37
183,,,,110701,2,2,30,30,111100,76.93
453,,,,,8,15,15,15,,
1088,,,,,11,11,17,17,,
793,,,,,5,5,37,37,,
29,1347,1347,11176,,143,554,1455,1455,7759,36.75
198,,,,,26,34,46,46,,
1073,,,,,16,16,16,16,,
528,436418,707690,709077,,8,8,592,831,499125,69
1016,9635,9635,524425,,4,19,265,346,510479,49
645,237527,231382,298153,,83,85,534,537,544740,69
427,,,,,14,14,14,14,,
1236,,,,,1,1,1,1,,
323,,,,,25,25,25,25,,
1136,,,,,14,14,14,14,,
253,,239893,,1192778,5,5,12,33,,
1144,,,,,5,5,5,5,,
90,195,243,5332,,39,464,617,731,,
211,,,,,3,3,3,3,,
1186,715,2265,2461,,66,66,110,110,,
471,,,,,7,7,7,7,,
879,,,,,17,29,35,35,,
757,,,,,7,7,7,7,,
649,,,,,13,13,13,13,,
1219,,,,,17,17,17,17,,
242,84298,84355,,,,,,,,
572,172175,,,,1,1,167,180,607520,49
679,572,,,,27,27,27,27,,
699,14852,14852,502754,,62,257,780,1085,190,55.2
523,14787,14787,789021,,6,51,51,174,783973,49
188,504,,,,9,9,9,9,,
624,,,,,12,12,12,12,,
347,,,,,4,4,4,4,,
16,874,,,,21,21,21,21,,
1091,1145,,,,32,32,32,32,,
835,,,,23164,12,16,23,23,65898,138
664,,,,,32,32,32,32,,
169,,,,,11,11,11,11,,
520,,,,,10,10,10,10,333066,44.1
165,7337,,,,5,46,46,46,,
32,,,,,11,11,11,11,,
1048,,,,,8,8,8,8,,
811,,,,,2,2,2,2,,
549,,,,,5,6,6,6,,
989,,,,,3,3,3,3,,
456,,,,,6,6,6,6,,
697,5579,5579,,83,14,65,65,260,4933,83.3
251,,,,,2,2,2,2,,
206,,,,,10,10,10,10,,
1201,,243884,,,26,113,138,138,,
492,244,402,,,92,99,99,99,,
419,,,,968771,4,4,4,44,,
334,20532,20861,,,18,20,20,20,,
62,,,,,15,19,19,19,,
895,,,,,4,4,7,20,870147,29.59
335,150588,150588,150589,597083,4,31,425,652,597116,138
991,192639,192528,,,8,8,128,128,,
1265,43513,,,,1,50,50,50,,
1174,1096,1096,,582,33,35,41,41,,
1056,382,633,634,,5,10,59,59,,
853,,,,,,,,,,
1237,,,,,31,31,31,31,,
455,,,,,41,41,41,41,,
851,,,,,1,1,1,1,,
728,197,445,,,4,169,169,169,,
111,2766,2573,,,72,72,72,72,,
865,,,,,2,2,2,2,,
1086,,,,,22,22,22,22,,
1223,,,,,4,4,6,6,,
124,,,,,8,10,10,10,,
54,,,,,15,15,15,15,,
838,,65809,,,20,38,50,72,,
859,1763,2402,,,31,41,48,48,,
255,10480,,,,17,30,30,30,,
535,340352,,,,10,10,164,326,186357,62.1
1061,,,,,1,1,1,1,,
389,,,,,98,99,100,100,,
747,262276,264625,,261337,11,40,75,78,,
911,,,,,15,15,15,15,,
1154,,,,,3,3,3,3,,
5,,,,,1,1,1,1,,
52,190231,886933,,,29,57,83,169,,
836,,,,,10,10,10,10,,
265,3608,64,,,14,59,61,62,,
534,16277,1210,,,108,332,421,491,,
227,652,710,885,,106,293,923,1212,332117,58.19
363,604,708,1542,,54,97,97,97,,
973,,,,,,,,,,
886,798,940,,,40,47,53,53,440965,39
329,,,,,8,8,8,8,,
40,7981,7753,233800,7600,13,62,319,465,1187739,602
307,,,,,9,9,9,9,,
711,,,,,12,12,12,12,,
1257,,,,,9,9,9,9,,
777,270448,270448,521497,,20,20,274,747,375,62.1
785,1646,1786,1930,,28,28,28,28,,
1040,801,215,,,,,,,,
941,539,771,,,9,9,9,9,,
495,,,,,3,3,3,3,,
1006,237,446,1239,,11,18,18,81,,
48,915,28012,28690,,18,90,90,90,,
1271,549824,1044904,,225,31,31,147,243,251380,443.7
180,,3327,,,8,13,13,13,,
1082,,,,,4,4,4,4,,
1167,827403,,,,,,,,,
46,461,656,1780,81862,87,406,578,1085,454171,38.47
68,,,,,3,3,4,4,,
616,,,,,12,12,12,12,,
904,,,,,,,,,,
792,103887,1162,523828,481355,4,18,671,748,606730,138
338,,,,,34,34,34,34,,
1151,,,,,,,,,,
953,30899,,,,1,20,20,20,,
163,,15,,,1,13,13,13,,
637,,,,,1,1,1,1,,
704,240,,,,16,16,16,16,,
1012,421,753,1127570,,50,54,65,111,677092,55
317,1905,73475,,,21,25,51,60,834399,49
247,180054,,,,16,16,27,27,,
238,3611,3611,,,15,34,34,34,,
1027,376,864,1911,,108,108,108,159,,
1128,606271,606271,623857,,2,17,43,89,200542,62.1
845,209,586,723,,90,160,297,297,,
1007,642,,,,111,154,154,154,,
1192,,,,,8,8,15,15,,
108,446,508701,580162,,28,58,299,321,855957,69
443,3384,3384,3439,,49,142,143,149,,
1249,,12832,,,19,36,36,36,,
924,1129898,,,,15,15,15,106,,
999,173,173,,,44,48,48,48,,
898,15469,15469,73297,482,33,238,331,518,6326,490
313,2630,2865,,,37,37,149,175,421650,52.37
126,,,,,6,6,6,6,,
642,542,12163,416158,,26,41,152,271,505864,69
354,,,,,14,14,14,14,,
503,,,,,9,9,9,9,,
378,6511,,6511,,3,58,58,58,,
1021,,,,,1,1,1,1,,
875,,,,,1,1,1,1,,
784,,,,,17,17,17,17,,
893,189,,,,15,15,15,15,,
407,,,,,3,3,3,3,,
738,,,,,31,33,33,33,,
906,1001,2437,,,75,139,290,544,46164,69
1065,7195,7332,7332,,5,38,38,38,,
506,,,,,6,6,6,6,,
392,198,,320,,24,39,39,39,,
547,,,,,6,6,6,6,,
1163,1724,1724,27178,,84,332,506,582,1013939,38.47
30,,,,,8,8,8,8,,
446,,176,,,13,15,16,16,,
765,150567,151014,,,25,37,309,494,499454,49
420,,,,,18,18,18,29,,
269,,,,,5,5,5,31,,
1032,,,,,35,35,35,35,,
333,246,1017,70828,,46,194,247,253,,
61,1025588,,,,11,11,11,101,,
429,,,,,3,3,3,3,,
1011,,,,,5,5,5,5,,
1195,1022,,,,36,36,36,36,,
1093,,,,,,,,,,
1261,,,,,11,13,13,13,,
349,,,,,9,11,11,11,,
993,170,334,4523,,1,7,7,7,,
619,128,,,,26,26,26,26,,
622,,,,,3,7,7,7,,
773,,,,,16,16,16,16,,
866,346,432162,,,23,23,175,175,,
928,,109837,,,45,100,128,128,,
1028,,,,,30,30,30,30,,
1017,263678,263678,,,1,1,8,8,,
658,,,,,18,18,18,18,,
125,202,1945,,,33,65,165,224,335172,49
1198,,,,118,20,20,20,34,1276,289.97
258,11262,11330,176810,,7,95,301,328,,
914,,208,,,10,10,10,10,,
203,,2111,,,75,75,75,75,,
796,,,,,11,11,11,11,,
510,,,,,2,2,2,2,,
1181,7198,7198,64993,,11,82,146,169,512175,55.2
957,,,,,2,4,4,4,,
134,1286,1565,1565,,54,55,56,58,,
737,67937,201,1022143,577677,29,85,148,432,,
692,173455,173455,,162,29,29,212,254,1566,196.65
1069,614249,614249,768990,,43,64,72,156,683947,51.75
846,,,,,30,30,30,35,,
715,363152,363152,,,19,19,44,44,,
984,63392,,,,13,23,23,23,,
858,89484,197,90426,,20,20,67,70,,
118,,,,,15,15,15,15,,
234,2368,161299,161226,,45,115,440,1458,1104717,38.47
425,,,,,2,2,2,2,,
618,,,,,8,8,8,8,,
665,2069,2069,2403,,48,48,48,48,,
932,,,,,2,2,2,2,,
734,,,,,10,10,10,10,,
607,510272,510272,510273,,4,4,86,86,507834,62.1
749,,113,,,33,33,33,33,,
760,,,,,3,3,3,3,,
1270,258222,258306,258307,,21,55,194,214,,
236,,,,,12,16,18,18,,
1189,,,,,6,6,6,6,,
628,4128,4128,4128,,58,82,82,82,,
45,790224,871136,,789406,25,25,25,358,790478,124.2
136,,,,,8,8,8,8,,
1003,,,,,34,46,46,46,,
626,251207,251049,252112,,18,18,89,93,,
575,,,,,4,4,4,4,,
775,179,1542,1542,,48,93,175,175,7698,62.1
340,,,,,8,8,8,8,,
944,,,,,,,,,,
1118,,,,,20,27,27,27,,
184,260,1900,346286,338023,64,66,296,321,,
37,702,953,1108066,,28,50,50,339,951441,44.1
949,512532,237,512532,,17,17,59,65,,
303,301,301,26179,,34,271,271,271,,
438,318,32,1131,,94,120,189,189,,
439,,,,,11,11,11,11,,
299,,,,2381,25,34,70,73,,
857,,,,,15,15,20,20,,
694,320940,332075,,,1,1,87,87,,
1043,519924,842973,,148247,9,9,40,54,,
1127,539,,540,,18,18,18,18,,
606,,,,,1,20,20,20,,
1210,368,839,1338,,12,55,55,56,,
516,689,834,1061,,49,49,49,49,,
1058,,,,,16,16,16,16,,
59,,,,,32,32,32,32,,
431,,,,,15,15,15,15,,
437,,,,,1,3,6,6,,
362,,,,,18,19,19,19,,
9,298,,,,,,,,,
1203,,,,,8,8,8,8,,
581,,,,,5,5,5,5,,
187,,,,,13,13,13,13,,
1047,,,,,13,13,13,13,,
94,76406,675462,,79,24,24,24,24,21617,110.4
219,,,,,1,1,1,44,,
962,,,,,9,9,9,9,,
1066,1016,,,,3,3,3,3,,
772,1851,1851,1975,3379,85,218,218,218,,
678,3625,3625,,,15,33,67,116,647,49
353,1225,,1225,,76,76,76,76,,
709,,,,,8,8,17,17,,
942,,,,,5,5,5,5,,
662,,,,,3,3,3,3,,
157,2987,4752,600283,,61,102,214,511,593945,34.62
974,,,,,9,13,13,13,,
207,,,,,2,2,2,2,,
1152,,,,,14,14,14,14,,
257,,,,,35,35,37,37,,
1252,34438,,,,1,14,35,35,,
152,,,,,7,8,8,8,,
913,,,,,5,5,5,5,,
498,109792,166973,,,9,9,47,47,,
708,302,31713,33707,,1,42,42,66,647791,49
983,,,,,7,7,7,7,,
49,,,,,,,,,,
1260,,,,,17,18,18,18,,
1234,,,,,4,11,11,11,,
357,,,,,2,2,2,2,,
1034,,,,,3,4,4,7,,
252,,190,,,22,22,22,22,,
1078,933595,1126366,,94,34,50,88,279,80092,585.86
35,,,,,15,15,15,15,,
1207,,,,,31,33,33,33,,
330,363878,364530,,,9,9,103,103,,
225,537,537,239641,,57,100,168,498,1098683,62.1
968,,,,,,,,,,
714,,,,,11,11,28,28,528834,49
979,6580,344321,,2200,62,72,305,640,2765,88.2
170,155933,155933,,347,13,37,1110,1266,90220,138
548,,,,,14,14,14,28,,
1117,5446,7514,,,3,66,68,199,,
414,287562,288568,288568,,24,26,97,97,419060,49
98,292,546,,,53,151,176,226,594839,69
1180,1099340,,,,24,43,47,57,73061,69
827,655199,655199,,654867,50,50,50,166,,
601,126,126,439,,74,94,227,286,,
1276,1742,1742,,,24,29,29,29,,
366,,,,,11,12,12,12,,
209,2629,85590,685049,,59,515,1290,2015,680081,52.37
282,,,,,3,3,3,33,,
508,16591,16591,16591,,12,273,273,289,771881,32.7
57,,1646,,,8,8,8,8,,
318,1229,876,,,77,78,78,78,,
332,73723,,,,1,37,42,42,,
883,1424,,,,28,28,28,28,,
337,,,,,14,14,14,14,,
413,,,,,18,18,18,18,,
1049,,,,,19,19,19,19,,
131,272,272,,,13,20,20,29,,
69,,,,,2,2,2,3,,
768,781,2185,,,26,26,26,26,,
612,,,,,20,20,20,20,,
685,2047,3138,,,44,138,368,437,605921,69
1020,310,310,310,,20,38,38,38,,
854,1103,1763,,,47,47,74,94,1170865,49
1026,,,,,,,,,,
426,3215,3215,,,11,17,17,17,,
996,,,,,5,5,5,5,,
1160,1030,,,,37,63,86,86,,
1171,444,491281,,,2,3,3,3,,
1184,48,,,,,,,,,
250,14688,14688,708287,,20,68,249,332,279,51.75
1279,,,,229,26,44,69,69,3915,207
228,,,,,,,,,,
319,,,,,1,1,1,1,,
195,8835,9012,,,12,33,34,88,794809,62.1
894,331,54451,170166,,38,38,343,999,241861,58.65
97,,,,,1,1,1,1,,
872,181111,,,4382,1,26,93,100,,
483,,,,,10,10,10,10,,
117,,,,,5,5,5,5,,
1182,,156,,,1,1,4,5,,
264,295,28467,,,41,83,83,83,,
3,,,,,16,16,21,21,,
129,933695,323,1023434,932520,23,23,46,823,607329,49
12,581,279,,,67,67,71,71,,
67,257904,319249,1020725,254493,18,38,484,3532,254697,124.2
74,608,608,3828,,19,50,50,50,,
922,212428,212828,212828,,1,47,317,398,533396,49
786,,,,,2,2,2,2,,
795,,,,,33,37,37,37,,
544,1175,1175,,,17,17,17,17,,
807,,,,,10,10,10,10,,
829,,,,,4,7,21,21,,
532,,,,321,16,16,16,16,,
47,122,174,,,10,10,10,10,,
178,,,,,29,29,29,29,,
494,,,,,4,4,4,4,,
194,108,324,771,,76,76,76,76,,
651,,,,,1,1,2,2,,
116,4146,4506,4506,,11,40,40,40,,
1178,2163,2163,94312,,13,151,276,276,,
218,294195,,,,21,55,346,367,,
661,62426,586598,,2183,126,514,1813,2117,585120,115.4
229,1124,1124,,,7,8,8,10,,
468,659,363,,,20,20,20,20,,
159,1248,1247,1637,,51,51,63,63,,
787,1356,,,,9,16,16,16,,
115,,,,,4,4,4,4,,
266,138,,,,12,12,12,12,,
199,,,,,1,2,2,2,,
65,,,,,8,8,8,8,,
113,449702,,,2632,54,58,187,190,,
502,,,,,2,2,5,5,,
278,,,,,10,10,10,41,,
589,,,,,6,19,19,19,,
505,,,,,11,11,11,11,,
1173,,,,,4,7,7,7,,
917,,,,,1,1,1,1,,
644,607,,,,14,89,129,130,,
1122,229,229,,15590,11,48,48,48,,
358,,11986,,,57,135,135,135,,
821,,,,,14,14,14,14,,
929,,,,,2,2,2,2,,
259,636,,,,30,35,35,35,,
331,,,,,1,1,1,1,,
1101,113428,,,,1,1,10,10,,
1216,,,,,5,5,5,5,,
375,326152,328645,673038,,14,17,139,269,176894,62.1
799,,,,,8,8,8,8,,
719,,,,,9,9,9,9,,
629,763,593,,4183,21,50,113,113,,
868,,,,,,,,,,
434,566,566,1021,,123,130,146,146,,
53,,,,,1,1,1,1,,
473,501894,501894,,,11,15,65,104,,
640,77683,,,,90,308,336,339,,
899,608451,187700,611996,,30,35,48,144,,
830,,,,,5,5,5,5,,
901,395623,,,,5,5,31,55,,
384,,,,,11,11,11,11,,
182,,,,,5,5,5,5,,
423,,,,,7,7,7,20,,
1185,176073,176073,,,13,13,63,63,,
1281,229,229,230,,14,14,14,14,,
790,,,,,29,29,41,43,,
200,,,,,2,2,2,2,,
656,,,,,8,8,8,8,,
1220,,,,,3,3,3,3,,
380,,,,,2,2,2,2,,
771,606,606,346863,325628,36,36,135,158,,
14,,,,,,,,,,
164,,,,,23,24,31,31,,
746,,,,,2,2,2,2,,
450,863979,82647,,,10,62,83,146,857345,69
834,979,,,,28,28,28,28,,
359,,,,,14,14,14,14,,
279,,,,,8,8,8,8,,
284,320,171,465,851308,149,192,192,286,,
706,,,,,15,15,15,15,,
681,345133,,,,18,160,221,221,,
60,,,,,3,3,3,3,,
277,265635,253674,266431,,19,19,245,266,422726,58.19
166,,,,,12,12,12,12,,
88,612965,612965,,644,17,28,31,100,,
1199,703067,,,532,41,41,41,69,1193,165.6
1139,,,,,12,12,12,12,,
1164,366,366,367,,122,132,184,184,,
399,101191,101289,,,16,16,37,200,137,69
761,,,,500,20,55,72,80,2075,276
220,82600,,,,1,9,9,9,,
935,,,,,6,6,6,6,,
1255,,604,,,15,15,15,15,,
325,,,,,10,10,10,10,,
729,,,,,11,11,11,38,,
808,556,,,,33,33,33,37,,
672,765,1939,408650,,47,58,177,177,,
114,,285,,,16,16,16,16,,
754,,,,,5,14,14,14,,
863,,,,,10,10,19,19,,
797,,,,,11,12,12,12,,
591,,,,,5,5,5,5,,
356,,,,,2,2,2,2,,
574,,,,,6,6,6,6,,
1024,146,,,,13,13,13,13,,
