time_to_first_matter	time_to_first_time_entry	time_to_first_bill	time_to_second_user	page_views_in_first_hour	page_views_in_first_day	page_views_in_first_7_days	page_views_in_first_14_days	page_views_in_first_day_norm	page_views_in_first_7_days_norm	page_views_in_first_14_days_norm	time_delta_day	time_delta_week	time_delta_2weeks	Conversion
				12.0	12.0	12.0	12.0	1.7142857142857142	0.07142857142857142	0.03571428571428571	10.285714285714286	1.6428571428571428	0.03571428571428571	No
117.0	117.0	223.0	280881.0	16.0	16.0	31.0	31.0	2.2857142857142856	0.18452380952380953	0.09226190476190477	13.714285714285715	2.1011904761904763	0.09226190476190477	Yes
351.0	448.0			20.0	20.0	20.0	20.0	2.857142857142857	0.11904761904761904	0.05952380952380952	17.142857142857142	2.738095238095238	0.05952380952380952	No
				1.0	5.0	5.0	5.0	0.7142857142857143	0.02976190476190476	0.01488095238095238	0.2857142857142857	0.6845238095238095	0.01488095238095238	No
				4.0	4.0	4.0	4.0	0.5714285714285714	0.023809523809523808	0.011904761904761904	3.428571428571429	0.5476190476190476	0.011904761904761904	No
278.0	355.0			10.0	10.0	10.0	10.0	1.4285714285714286	0.05952380952380952	0.02976190476190476	8.571428571428571	1.369047619047619	0.02976190476190476	No
			1168.0	41.0	89.0	89.0	89.0	12.714285714285714	0.5297619047619048	0.2648809523809524	28.285714285714285	12.184523809523808	0.2648809523809524	Yes
				22.0	22.0	24.0	24.0	3.142857142857143	0.14285714285714285	0.07142857142857142	18.857142857142858	3.0	0.07142857142857142	No
	332.0			10.0	20.0	20.0	20.0	2.857142857142857	0.11904761904761904	0.05952380952380952	7.142857142857142	2.738095238095238	0.05952380952380952	No
				1.0	1.0	1.0	1.0	0.14285714285714285	0.005952380952380952	0.002976190476190476	0.8571428571428572	0.1369047619047619	0.002976190476190476	No
				5.0	5.0	5.0	7.0	0.7142857142857143	0.02976190476190476	0.01488095238095238	4.285714285714286	0.6845238095238095	0.01488095238095238	No
				10.0	10.0	10.0	10.0	1.4285714285714286	0.05952380952380952	0.02976190476190476	8.571428571428571	1.369047619047619	0.02976190476190476	No
192.0	192.0			27.0	56.0	56.0	116.0	8.0	0.3333333333333333	0.16666666666666666	19.0	7.666666666666667	0.16666666666666666	Yes
				12.0	22.0	22.0	22.0	3.142857142857143	0.13095238095238096	0.06547619047619048	8.857142857142858	3.011904761904762	0.06547619047619048	No
				6.0	6.0	6.0	6.0	0.8571428571428571	0.03571428571428571	0.017857142857142856	5.142857142857143	0.8214285714285714	0.017857142857142856	No
				20.0	20.0	20.0	20.0	2.857142857142857	0.11904761904761904	0.05952380952380952	17.142857142857142	2.738095238095238	0.05952380952380952	No
			120.0	16.0	16.0	21.0	21.0	2.2857142857142856	0.125	0.0625	13.714285714285715	2.1607142857142856	0.0625	No
